,rol,corte,fecha,folio,tramite,descripcion,fecha_ingreso,CLASIFICACION_CORRECTA,CLASIFICACION_NUM
46555,,,,,,al folio 70: des cuenta,,Dese Cuenta,11
46558,,,,,,Acum.:526-2032 con 562-2008 de la corte de Talca.,,Acumulación,2
46571,,,,,,"La TEM omte proncunc. la recurso, discrepancia en el cálculo de planes por la isapre.",,Inadmisible/Omite,18
46579,,,,,,"Bajo Apercibimiento, se requiere respuesta en cinco días hábiles.",,Apercibe,5
46592,,,,,,Según lo informado por Dmand. en el folio 26: n.h.l.,,Nhl,23
46599,,,,,,F.22 Rep. Rech/Concede Ap.,,Concede Apelación,9
46601,,,,,,(Plan Base)desarch/Incomp(qlk),,Incompetencia,19
46612,,,,,,Tng. por omte proncunc. (la demanda) por no dar cumplimiento a lo solicitado.,,Inadmisible/Omite,18
46618,,,,,,Apercibimiento: se deja sin efecto la resolución y se ordena Apercibimiento.,,Apercibe,5
46619,13256-2024,Concepción,24/06/2024,13.0,Resolución,Dese cumplim/Pide antecedentes,09/05/2024,Ica Solicita Diligencia,17
46627,,,,,,Acumulado a 650-2015  con 672-2046.,,Acumulación,2
46635,,,,,,Se ha rechazao el acción con costas al demandante por falta de información proporcionada por la isapre.,,Rechazada,26
46639,,,,,,Comenzada la tramitación del recurso.,,Inicio Tramitación,21
46646,332-2024,San Miguel,15/02/2024,9.0,Resolución,"Traslado/Por evacuado informe. En relación// pídase informe al tenor del recurso a la Superintendencia de Salud, a través de su representante legal o quien haga sus veces y mantenga poder de representación, en el plazo de cinco días, debiendo adjuntar todos los antecedentes que obren en su poder y que digan relación con la acción deducida, bajo apercibimiento que de no hacerlo dentro del plazo antes indicado, se podrán aplicar algunas de las medidas señaladas en el N° 15 del Auto Acordado de la Excma. Corte Suprema sobre Tramitación del Recurso de Protección de Garantías Constitucionales",01/02/2024,Apercibe,5
46655,,,,,,Corte de Apelaciones de informa numeral 14,,Art / Numeral,7
46658,230-2024,Copiapó,16/05/2024,7.0,Resolución,Trans. Art.125 C.P.C/DCS,30/04/2024,Art / Numeral,7
46661,,,,,,la corte de Puerto Montt de por aceptada la o.n.i.A la resolución del folio 69: aceptada la o.n.i.,,Oni,24
46662,,,,,,la corte de Iquique de por aceptada la ordern de no innonvarA la resolución del folio 17: aceptada la ordern de no innonvar,,Oni,24
46665,,,,,,tengase por acumulado:175-2001 con 123-2009 de la corte de Iquique.,,Acumulación,2
46678,,,,,,NHL lo obrado por la Ilma. C.A. de Temuco,,Nhl,23
46690,,,,,,omte proncunc. la apelación falta de pruebas.,,Inadmisible/Omite,18
46692,,,,,,soluciona Sentencia (LUC)soluciona Sentencia (LQL),,Ica Informa,16
46731,,,,,,(GES2025)Teng. por (GC),,Téngase Presente,28
46766,,,,,,La corte prescinde de la Acsdo. por no pagar la fianza.,,Prescinde,25
46782,,,,,,El recursose archiva por falta de pruebas,,Archivado,6
46791,332-2024,San Miguel,28/03/2024,17.0,Resolución,Agréguese extraordinariamente a la tabla del 02 de abril,01/02/2024,Agréguese A Tabla,4
46794,,,,,,El tribunal competente demanda solicitar el cumplimiento de la sentencia dentro del plazo establecido para verificar el cumplimiento de la sentencia.,,Ica Solicita Diligencia,17
46800,,,,,,Inicia la tramtiacion del apelación.,,Inicio Tramitación,21
46801,,,,,,acumúlese al rol 497-2036,,Acumulación,2
46814,,,,,,Apercibimiento: se deja constancia en autos de la inacción de Demandado recurrente.,,Apercibe,5
46821,20310-2023,Concepción,14/12/2023,10.0,Resolución,"Ev. Informe. En relación // Pide Formulario Único de Notificación (N°7 detallando la nueva carga incorporada) , explicitando la aplicación tabla de factores en el presente caso ; documentación que deberá adjuntar en forma digitalizada, debiendo evacuarlo dentro del plazo de cinco días",20/11/2023,Evacua Informe,12
46824,1758-2024,Concepción,07/06/2024,23.0,Resolución,Pide informe cumplimiento de sentencia dentro del 5to día hábil,27/02/2024,Ica Solicita Diligencia,17
46825,,,,,,"La recurso es inadmis.a, incumplimiento de plazos administrativos por la isapre",,Inadmisible/Omite,18
46826,,,,,,La corte prescinde de la Denunciado por no notificar.,,Prescinde,25
46836,7610-2024,Temuco,27/11/2024,7.0,Resolución,d. cta sala turno,14/11/2024,Dese Cuenta,11
46844,,,,,,cúmplase/revocada acogiendo el planrevocada sin referirse al plan de salud .,,Cs,10
46847,,,,,,al folio 31: No ha lugar lo Scd. ,,Nhl,23
46854,5865-2024,San Miguel,07/01/2025,8.0,Resolución,amplía 5 días,20/12/2024,Ica Amplia Plazo,15
46860,,,,,,(PB2025)evinf/fondo/aer(PVZ duplicidad,,Evacua Informe,12
46862,,,,,,No ha lugar lo Requiere por lo que se desestima,,Fallo/Desestima,13
46866,576-2024,Punta Arenas,27/12/2024,16.0,Resolución,Agréguese Extraordinariamente a la tabla del 30 de diciembre,27/11/2024,Agréguese A Tabla,4
46877,,,,,,la corte de Valparaíso de por aceptada la ordern de no innonvarA la resolución del folio 55: aceptada la ordern de no innonvar,,Oni,24
46911,,,,,,La Corte de Apelaciones de stgo fija los cotizaciones en 500.000 pesos.,,Fija Costas,14
46914,1354-2023,Talca,13/10/2023,37.0,Resolución,Agréguese Extraordinariamente a la tabla del 19 de octubre,14/09/2023,Agréguese A Tabla,4
46920,,,,,,certifiquese lo solicitado por la Ilma. C.A. de Valdivia.,,Certifiquese,8
46925,,,,,,dc cuenta la ONI,,Oni,24
46926,,,,,,Se declara inhábil Doña Sepúlveda,,Inhabilidad,20
46927,,,,,,Aplica multa por no cumplir lo ordenado por SIS  es de de 100 a 300 UTM.,,Multa,22
46929,,,,,,La corte inadmis. (la recurso) falta de información proporcionada por la isapre,,Inadmisible/Omite,18
46931,1301-2024,Rancagua,15/05/2024,12.0,Resolución,"En relación. Procédase a su agregación extraordinaria a la tabla de la semana que corresponda, según disponibilidad",25/04/2024,Agréguese A Tabla,4
46932,,,,,,"Debido a extemporaneidad, el la presente acción se rechazaa con costas repartidas.",,Rechazada,26
46949,,,,,,acumulación 404-2048  con 960-2024.,,Acumulación,2
46950,,,,,,"El recurso se rechazaa sin costas, por carecer de interés legítimo.",,Rechazada,26
46959,,,,,,Se ha retirado el demanda por prescripción.,,Retira,27
46969,,,,,,dcta lo solicitado por la corte de Corte de,,Dese Cuenta,11
46996,1000-2024,Puerto Montt,22/10/2024,11.0,Resolución,Atendido el tiempo transcurrido sin que se haya dado cumplimiento a lo ordenado por resolución de fecha quince de octubre del año en curso se hace efectivo el apercibimiento decretado en la misma y por consiguiente se tiene por presentado el recurso,19/06/2024,Apercibe,5
47003,18449-2024,Concepción,23/09/2024,13.0,Sentencia,Por cumplido lo ordenado. Incompetencia,04/08/2024,Incompetencia,19
47016,,,,,,"El apelación es rechazao con costas al demandante, debido a negativa de trámite por parte de la isapre.",,Rechazada,26
47028,,,,,,c.s. (confirma).,,Cs,10
47030,,,,,,La inhabilidad del abog. int se fundamenta en por amistad íntima con el acusado.,,Inhabilidad,20
47039,,,,,,Solcd. Infor. Cumpl. Sent. NMV,,Ica Solicita Diligencia,17
47047,11993-2021,Concepción,24/04/2023,31.0,Resolución,Traslado (JMA),13/10/2021,Ica Informa,16
47054,,,,,,La sanción por no cumplir lo ordenado por SIS consiste en una multa de de 10 a 50 UTM.,,Multa,22
47068,,,,,,El archivo del demanda se debe a prescripción.,,Archivado,6
47076,,,,,,Según lo revisado por el sistema computacional dc. cuenta la o.n.i,,Oni,24
47077,,,,,,La inhabilidad del ministro de tribunal de alzada (se fundamenta en por parentesco con la parte interesada).,,Inhabilidad,20
47085,,,,,,La multa por la infracción de no cumple lo ordenado asciende a de 1 a 10 UTM.,,Multa,22
47094,,,,,,"El apelaciónse rechazaa con costas, por no cumplir lo estipulado en el plan",,Rechazada,26
47098,,,,,,Corte de Apelaciones ordena aclarar los hechos relacionados con el incumplimiento de la sentencia para verificar el cumplimiento de la sentencia.,,Ica Solicita Diligencia,17
47107,,,,,,"la presente acción acogido s/ costas, ordenando a NMV que mantener el plan de salud.",,Acoge,0
47123,,,,,,Los cotizaciones han sido fijados por la Corte de Apelaciones de Arica en 500.000 unidades.,,Fija Costas,14
47130,,,,,,Se ordena apercibimiento a la parte para que cumpla en plazo Aperc..,,Apercibe,5
47137,,,,,,El recurso es retirado (por prescripción).,,Retira,27
47152,,,,,,Falta de interés legítimo o parte afectada. es inadm.,,Incompetencia,19
47153,,,,,,F.5 Rep. Rech/Concede Ap.,,Concede Apelación,9
47164,29538-2022,Antofagasta,12/03/2024,7.0,Resolución,"Atendido el tiempo transcurrido y lo prevenido en el numeral 15 del Auto Acordado de la Excma. Corte Suprema sobre tramitación y fallo del recurso de protección, cumpla la ISAPRE recurrida con informar el recurso al tenor de lo ordenado en autos, dentro de quinto (5°) día, bajo apercibimiento de prescindir del mismo",07/11/2022,Apercibe,5
47175,,,,,,Prescinden  de la Demandante por no pagar la fianza.,,Prescinde,25
47176,,,,,,Temuco acumúlese 819-2028 (con 953-2031).,,Acumulación,2
47180,,,,,,Declara inadmibible por la corte de Valdivia,,Incompetencia,19
47189,,,,,,(GES2025)Rechazada (JQQ)NMV Litis/Rechazada GES2025,,Rechazada,26
47195,,,,,,Al folio 12: declara inadm,,Incompetencia,19
47204,,,,,,Resolviendo el folio 41: Tgs. por desestimado,,Fallo/Desestima,13
47228,,,,,,La Corte de Apelaciones de Puerto Montt fija los precios en 500.000 unidades,,Fija Costas,14
47235,322-2024,Iquique,27/05/2024,8.0,Resolución,Ev. Informe. // Agréguese Extraordinariamente a la tabla del 29 de mayo,16/05/2024,Agréguese A Tabla,4
47258,,,,,,El demanda se encuentra archivado por incumplimiento de cobertura por parte de la isapre,,Archivado,6
47269,,,,,,Se ha retirado el acción por prescripción,,Retira,27
47291,,,,,,la corte de Copiapó de por aceptada la oni.A la resolución del folio 84: aceptada la oni.,,Oni,24
47297,,,,,,Al escrito de la Recurrente téngase por enterado que se declara no h a lugar,,Nhl,23
47302,,,,,,"Prescinde de la Imputado, por no comparecer.",,Prescinde,25
47312,,,,,,El recurso ha sido archivado por prescripción.,,Archivado,6
47319,,,,,, ER/Cumple lo Solic.,,Ica Solicita Diligencia,17
47327,,,,,,"El demanda es rechazao sin costas, debido a aumento injustificado de costos por la isapre",,Rechazada,26
47330,2714-2018,Concepción,02/10/2019,19.0,Resolución,En Relación/Prescinde Informe,27/12/2018,Evacua Informe,12
47338,1393-2024,Temuco,10/04/2024,10.0,Resolución,Rechaza reposición// Concede ampliación de Plazo por el término de 08 días,26/03/2024,Ica Amplia Plazo,15
47339,16913-2023,Santiago,12/11/2024,43.0,Resolución,Por cumplida la sentencia,16/12/2023,Téngase Presente,28
47344,,,,,,La corte ha omte proncunc. la apelación por error procesal.,,Inadmisible/Omite,18
47356,,,,,,Al folio n 15: art 125,,Art / Numeral,7
47357,536-2024,Chillan,23/05/2024,10.0,Resolución,Ev. Informe. Traslado,27/04/2024,Evacua Informe,12
47371,2130-2024,Valdivia,12/09/2024,10.0,Resolución,"A lo principal, no ha lugar. Al primer y segundo otrosíes, téngase presente en la vista del recurso.",03/08/2024,Nhl,23
47377,19562-2024,Concepción,28/10/2024,6.0,Resolución,Resuelve solicitud de ONI: NHL ONI.,21/10/2024,Oni,24
47394,,,,,,al folio 69: des cuenta,,Dese Cuenta,11
47398,,,,,,Se informa que la Corte de Apelaciones de Arica ha fijado los valores en 500.000 UTM.,,Fija Costas,14
47402,,,,,,La parte retira el acción por error procesal.,,Retira,27
47403,,,,,,Notif.Estado Diario (JP),,Ica Informa,16
47424,,,,,,La Corte de Apelaciones de Santiago fija los cotizaciones en 500.000 UF.,,Fija Costas,14
47431,,,,,,Se rechazaa el demanda con costas repartidas por falta de fundamento.,,Rechazada,26
47434,,,,,,Prescinde de la Imp. por no notificar.,,Prescinde,25
47438,,,,,,Concedida la apelacion de la parte Rte.,,Concede Apelación,9
47439,,,,,,"(PBEx24)Rechazada/MasVida(JQQ)El recurso se rechazaa sin costas, por no cumplir lo estipulado en el plan",,Rechazada,26
47451,,,,,,Tgsa. archivado el recursoAl folio 42: Archívese,,Archivado,6
47452,,,,,,se certifica lo solicitado por la Tribunal de Apelaciones de Antofagasta.,,Certifiquese,8
47456,198-2024,Santiago,29/05/2024,22.0,Resolución,Téngase presente el Informe Cumplimiento,18/03/2024,Ica Solicita Diligencia,17
47469,,,,,,Se declara inadmisisble por Falta de fundamentación jurídica adecuada.,,Incompetencia,19
47477,,,,,,al folio 13: cúmplase cs/litis pendencia,,Cs,10
47507,,,,,,"Por auto acordado de la Corte de Apelaciones de Ccp, los cotizaciones quedan en 400.000 unidades.",,Fija Costas,14
47528,1360-2024,Concepción,22/03/2024,19.0,Resolución,Concede ampliación de plazo por el lapso de 03 días. // Pide informe  UC christus dentro del plazo de 05 días,12/02/2024,Ica Amplia Plazo,15
47537,,,,,,A.R./Agrégue Extra 10-4,,Agréguese A Tabla,4
47538,39-2024,Talca,28/06/2024,8.0,Resolución,f.7/ dese cuenta.,14/06/2024,Dese Cuenta,11
47545,,,,,,(PR11/PBEx25)Concede Recurso(GC),,Concede Apelación,9
47546,,,,,,Los precios han sido fijados por la Corte de Apelaciones de Concepción en 500.000 pesos,,Fija Costas,14
47559,355-2024,Punta Arenas,19/07/2024,15.0,Resolución,Agréguese extraordinariamente a la tabla del 22 de julio,13/06/2024,Agréguese A Tabla,4
47563,,,,,,(PB)DSE/Nhl Rep(LALL),,Nhl,23
47569,,,,,,N.H.L. lo obrado por la C.A. de Temuco,,Nhl,23
47573,,,,,,N.H.L. lo obrado por la Corte de de Temuco,,Nhl,23
47580,,,,,,"Por aumento desproporcionado de planes de isapres, se establece una multa de de 5 a 25 UTM.",,Multa,22
47589,,,,,,(PB2024)T.P. (GC),,Téngase Presente,28
47595,,,,,,arregla resolución,,Ica Informa,16
47625,18669-2023,Concepción,15/11/2023,11.0,Resolución,"A lo principal: Téngase presente lo informado por la recurrida. Al otrosí: A sus antecedentes los documentos acompañados. Sin perjuicio de lo anterior. No habiendo informado la isapre recurrida, pídase cuenta y sin perjuicio reitérese la petición de informe, al tenor del recurso interpuesto por nueva carga, debiendo remitir todos los antecedentes que existan en su poder sobre el asunto motivo del recurso, especialmente el Formulario Único de Notificación, explicitando la aplicación tabla de factores en el presente caso, dentro del plazo de cinco días hábiles, bajo apercibimiento, en caso de incumplimiento, de prescindir de dicho informe y de aplicarle alguna de las medidas que contempla el Nº 15 del Auto Acordado de la Excma. Corte Suprema de Justicia sobre Tramitación del Recurso de Protección de Garantías Constitucionales. Ofíciese",10/10/2023,Apercibe,5
47637,2410-2023,Valdivia,08/01/2024,10.0,Resolución,Agréguese extraordinariamente a la tabla del 11 de enero // Autoriza alegatos,07/12/2023,Agréguese A Tabla,4
47641,,,,,,Tgse. por la certificación por la parte Acsdo.,,Certifiquese,8
47646,,,,,,"Debido a falta de pruebas, la recurso es omite pronunciamiento sobrea.",,Inadmisible/Omite,18
47652,,,,,,Nota acuerdo: redacción Benjamín González,,Acuerdo,1
47653,,,,,,d. cuenta lo solicitado por la corte de Corte de Apelaciones de,,Dese Cuenta,11
47656,5754-2024,San Miguel,26/12/2024,10.0,Resolución,Dese Cuenta en la 3ª Sala,17/12/2024,Dese Cuenta,11
47661,,,,,,exige presentar pruebas adicionales que respalden la demanda para aclarar aspectos no definidos en la resolución.,,Ica Solicita Diligencia,17
47667,,,,,,(PBEx24)admitido a trámite (NJ),,Admisibles,3
47699,,,,,,Al escrito de la Rcrte. téngase por enterado que se declara NHL,,Nhl,23
47702,,,,,,El inicio del la presente acción es por tramitación.,,Inicio Tramitación,21
47705,,,,,,Inicio de tramitación del acción,,Inicio Tramitación,21
47715,,,,,,cúmplase cs (revoca).,,Cs,10
47719,,,,,,La corte prescinde de la Querellado por no comparecer.,,Prescinde,25
47720,12146-2024,Santiago,23/05/2024,9.0,Resolución,Apercibimiento a la parte recurrente para que cumpla lo solicitado por la ICA dentro de 05 días,02/05/2024,Apercibe,5
47725,,,,,,(PBEx26) cfrt. Duplicidad (PBD,,Certifiquese,8
47731,,,,,,Según lo revisado por el sistema computacional Dese cuenta la ONI,,Oni,24
47741,,,,,,"Acógese la demanda contra Isapre Banmédica sin costas, respecto del TF.",,Acoge,0
47756,16782-2020,Rancagua,30/12/2020,11.0,Resolución,Téngase por evacuado el trasla,09/12/2020,Ica Informa,16
47765,,,,,,(PBEx25)agréguese ext. 4-9,,Agréguese A Tabla,4
47766,,,,,,El juzgado de alzada requiere solicitar el cumplimiento de la sentencia dentro del plazo establecido para garantizar la transparencia del proceso en un plazo de 7 días.,,Ica Solicita Diligencia,17
47779,,,,,,"acumulación 428-2048, con 854-2020 de la corte de ARC",,Acumulación,2
47783,,,,,,En vista y consideración lo informado por la Corte de Apelaciones de de Tribunal de Apelaciones concédase el recurso vista,,Concede Apelación,9
47800,,,,,,"El recurrido retira la presente acción, por falta de pruebas",,Retira,27
47820,,,,,,"Al folio 44, agréguese a estos antecedentes.",,Ica Informa,16
47822,18443-2024,Concepción,05/09/2024,12.0,Resolución,En acuerdo,02/08/2024,Acuerdo,1
47824,,,,,,El recurso ha sido rechazao con costas por negativa de trámite por parte de la isapre.,,Rechazada,26
47828,,,,,,según lo estipulado por la Tribunal de Apelaciones de Corte Apel. se concede la apelación elévense,,Concede Apelación,9
47836,,,,,,El rol 142-2017  acumúlese 135-2048.,,Acumulación,2
47843,,,,,,dcta la o.n.i.,,Oni,24
47846,,,,,,certif. lo solicitado por la Ilustrísima Corte de Apelaciones de Arica.,,Certifiquese,8
47848,,,,,,cúmplase cs/omite .,,Cs,10
47850,5215-2024,Temuco,05/08/2024,12.0,Resolución,No ha lugar a lo solicitado en el folio 9,08/07/2024,Apercibe,5
47861,,,,,,La ica de santiago ha prescindido de la Tercero interesado por no notificar.,,Prescinde,25
47865,,,,,,T.Por inf Querellante(costas),,Téngase Presente,28
47867,,,,,,Nota de acuerdo: redacción ministra Santiago Flores.,,Acuerdo,1
47868,,,,,,Al folio 1: comunica articulo n° 125,,Art / Numeral,7
47875,,,,,,Téngase por inf Demandado(costas),,Téngase Presente,28
47883,,,,,,Estése a la disponibilidad de esta corte de apelaciones de COY a su ingreso y prioridad.,,Acuerdo,1
47889,10469-2021,Concepción,16/12/2021,11.0,Sentencia,Acogida (NE),03/09/2021,Acoge,0
47896,,,,,,"Prescinden, de la Terc. Int., por no dar cumplimiento.",,Prescinde,25
47911,3709-2024,Concepción,15/04/2024,5.0,Sentencia,Retiro recurso,25/03/2024,Retira,27
47913,,,,,,El rol 313-2032 Acum. 167-2042.,,Acumulación,2
47918,,,,,,La corte ha omite pronunciamiento sobre la apelación por incumplimiento de plazos administrativos por la isapre.,,Inadmisible/Omite,18
47934,,,,,,Como se Ptn.,,Ica Informa,16
47946,,,,,,Se acogió el la presente acción y se ordena a Isapre Colmena que mantenga las condiciones.,,Acoge,0
47968,,,,,,transcurrido el plazo de 22 dias dese estricto cumplimiento al articulo 125,,Art / Numeral,7
47974,,,,,,El recurso es retirado (por prescripción),,Retira,27
47984,,,,,,Al folio n 69: art 216,,Art / Numeral,7
48025,,,,,,Por Duplicidad del recurso o presentación reiterada sin novedad. a lo solicitado por la corte de Iquique téngase por declarado la inadmisble,,Incompetencia,19
48029,,,,,,(Plan GES)se declara admisible (ZM),,Admisibles,3
48039,,,,,,Estése a la disponibilidad de esta corte de apelaciones de CHILL a su ingreso y prioridad.,,Acuerdo,1
48054,,,,,,El recurso es retirado  por incumplimiento de plazos administrativos por la isapre,,Retira,27
48059,,,,,,El monto de la multa por falta de transparencia en contratos de isapres será de de 500 a 1000 UTM.,,Multa,22
48065,,,,,,Se acoge la reclamación y se instruye a Isapre Banmédica no aplique alza.,,Acoge,0
48074,,,,,,El la presente acción es archivado por desistimiento,,Archivado,6
48080,,,,,,(NC)evinf/fondo/aer(KBM) duplicidad,,Evacua Informe,12
48082,,,,,,"Por discrepancia en el cálculo de planes por la isapre, se retira el demanda",,Retira,27
48092,,,,,,Se acoge la reclamación y se instruye a NMV no aplique alza.,,Acoge,0
48093,,,,,,publica cumplimiento,,Ica Informa,16
48099,12462-2023,Santiago,20/02/2024,39.0,Resolución,"A todo, previo a proveer el escrito de patrocinio y poder, por advertirse que se encuentra suscrito con firma electrónica simple, a fin de dar estricto cumplimiento al artículo 7° de la Ley N° 20.886, ratifíquese la firma ante la señora ministro de fe de la Unidad de Protecciones de esta Corte, presencialmente o por vía remota mediante videoconferencia, dentro de tercero día, bajo apercibimiento de tenerlo por no presentado para todos los efectos legales",11/08/2023,Apercibe,5
48100,,,,,,Al folio 12: comunica articulo n° 125,,Art / Numeral,7
48103,,,,,,"(GES2026)Rechazada/MasVida(JQQ)El recurso se rechazaa con costas al demandante, por negativa de trámite por parte de la isapre",,Rechazada,26
48109,14473-2023,Santiago,20/09/2023,6.0,Resolución,"Rechaza reposición // Concede recurso, apelación",15/09/2023,Concede Apelación,9
48121,1328-2022,Concepción,24/06/2024,24.0,Resolución,"Teniendo presente la naturaleza de la cuestión discutida y las gestiones útiles realizadas, SE RECHAZA, sin costas, la objeción de costas interpuesta en estos autos.Res.",02/12/2022,Rechazada,26
48125,3222-2023,Rancagua,28/12/2023,19.0,Resolución,"A sus antecedentes oficio notificación N° 1947-2023 de Carabineros de la Tercera Comisaria Rancagua Oriente, Subcomisaria de Diego Portales",16/10/2023,Ica Informa,16
48128,,,,,,La ica de santiago ha prescindido de la Fcal. por no notificar.,,Prescinde,25
48138,,,,,,Se acoge acción no se pronuncia por costas.,,Acoge,0
48139,,,,,,Se rechazaa el la presente acción sin costas por incumplimiento de cobertura por parte de la isapre.,,Rechazada,26
48143,15820-2024,Santiago,12/06/2024,3.0,Resolución,RESERVADO,,Ica Informa,16
48154,12834-2022,Concepción,20/06/2022,8.0,Resolución,(TF)AER/Fdo/Ext(JBC),12/04/2022,Evacua Informe,12
48160,198-2024,Santiago,29/04/2024,17.0,Resolución,"Se ordena Isapre Nueva Masvida S.A., que informe a esta Corte la manera en que se encuentra dando cumplimiento a la sentencia de autos, debiendo acompañar para estos efectos antecedentes necesarios que den cuenta de dicho cumplimiento, todo dentro de quinto día",18/03/2024,Ica Solicita Diligencia,17
48165,3248-2024,Concepción,01/04/2024,8.0,Resolución,"Ev. Informe. En relación // Atendido el mérito de los antecedentes y, teniendo presente que el Formulario Único de Notificación requerido ya fue acompañado por la parte recurrente junto con su recurso, se resuelve: no existiendo trámites pendientes, tráiganse los autos en relación.",21/03/2024,Evacua Informe,12
48167,,,,,,Se acogió el la presente acción y se ordena a Isapre Colmena que restituir los cobros alegados.,,Acoge,0
48168,,,,,,anuncia sentencias,,Ica Informa,16
48185,,,,,,La parte retira el acción por negativa de trámite por parte de la isapre.,,Retira,27
48191,,,,,,"El la presente acción es rechazao con costas al demandante, debido a falta de pruebas",,Rechazada,26
48202,,,,,,"El solicitud es rechazao con costas, debido a incumplimiento de cobertura por parte de la isapre",,Rechazada,26
48205,,,,,,Téngase y por desestimadoFallo/Desestima,,Fallo/Desestima,13
48216,,,,,,El rol 119-2003 Acum. a 334-2031.,,Acumulación,2
48232,,,,,,Se acoge la reclamación y se instruye a Isapre Colmena restituir los cobros alegados.,,Acoge,0
48270,,,,,,"Debido a incumplimiento de plazos administrativos por la isapre, el recurso se rechazaa sin costas.",,Rechazada,26
48279,,,,,,"Acógese la demanda contra NMV no se pronuncia por costas, respecto del GES2026.",,Acoge,0
48287,,,,,,certifiquese lo solicitado por la Apelaciones de de Santiago.,,Certifiquese,8
48289,233-2024,Iquique,02/05/2024,5.0,Resolución,Agréguese Extraordinariamente a la tabla del 06 de mayo,12/04/2024,Agréguese A Tabla,4
48290,300-2020,Punta Arenas,23/06/2020,18.0,Resolución,Traslado y Por evacuado Inform,18/12/2020,Evacua Informe,12
48292,,,,,,El fiscal se declara inhábil por haber emitido opinión pública sobre el caso ,,Inhabilidad,20
48300,3059-2024,Valdivia,24/12/2024,8.0,Resolución,"Encontrándose la presente causa ante la Excma. Corte Suprema, ocúrrase ante quien corresponda.",28/11/2024,Ica Informa,16
48308,,,,,,solicita informe a la Apdo.,,Ica Solicita Diligencia,17
48314,,,,,,cúmplase cs (confirma).,,Cs,10
48324,12639-2020,Rancagua,29/03/2021,19.0,Resolución,Cúmplase/Confirma,02/10/2020,Cs,10
48326,,,,,,"Por falta de pruebas, el recurso se archivó.",,Archivado,6
48335,13670-2020,Concepción,08/11/2024,25.0,Resolución,"Como se pide, ofíciese a la recurrida a fin que informe dentro de quinto día hábil, la forma en que ha dado cumplimiento al fondo de lo ordenado en la sentencia definitiva, bajo apercibimiento de aplicarle alguna de las medidas contempladas en el numeral 15 del Auto Acordado sobre Tramitación y Fallo del Recurso de Protección de las Garantías Constitucionales. Asimismo, ofíciese a la Isapre recurrida para que indique, dentro del mismo plazo fijado, cómo ha cumplido con el pago de las costas a que fue condenada",26/07/2020,Apercibe,5
48337,,,,,,Agréguese a la 1ra. Sala (PI,,Agréguese A Tabla,4
48340,,,,,,(NC)agréguese ext. 0-9,,Agréguese A Tabla,4
48354,,,,,,Acum. a 594-2033  con 282-2041.,,Acumulación,2
48359,,,,,,"Se prescinde, de la Dmdo., por no cumplir con la orden judicial.",,Prescinde,25
48365,1460-2019,Punta Arenas,14/11/2019,9.0,Resolución,Téngase Presente Patrocinio.,04/10/2019,Téngase Presente,28
48367,,,,,,(Plan Base)aer(OAP),,Evacua Informe,12
48374,,,,,,Inhabilidad Sr. Rodríguez,,Inhabilidad,20
48387,29310-2022,San Miguel,07/12/2023,7.0,Resolución,"Habiéndose constatado del Sistema SITCORTE que la recurrida no dio cumplimiento a lo ordenado en cuanto a evacuar el informe solicitado dentro del plazo establecido, se declara incursa del apercibimiento decretado en autos. Autos en relación",22/11/2022,Apercibe,5
48390,,,,,,certif. lo solicitado por la Ilma. C.A. de Temuco.,,Certifiquese,8
48391,,,,,,Resolviendo el folio 62: Tgsa. por desestimado,,Fallo/Desestima,13
48392,,,,,,Al folio n 61: art 216,,Art / Numeral,7
48408,2254-2023,Talca,06/02/2024,10.0,Resolución,Pide informe a la recurrida respecto del cumplimiento de la ONI.,05/12/2023,Ica Solicita Diligencia,17
48426,,,,,,Al folio 90: comunica articulo n° 125,,Art / Numeral,7
48430,,,,,,La solicitud es inadmisible.a  error procesal.,,Inadmisible/Omite,18
48433,,,,,,cfrt. lo solicitado por la Tribunal de Apelaciones de Chillán.,,Certifiquese,8
48437,,,,,,Inhabilidad de abog. int. Int. JOAEl abog. int se declara inhábil por recibir beneficios de una de las partes,,Inhabilidad,20
48446,,,,,,Teng. por informado el numeral °14,,Art / Numeral,7
48452,,,,,,(GES2026) pide cta.(UV),,Ica Solicita Diligencia,17
48460,,,,,,(PB2025)acogido a tramitación(IK),,Admisibles,3
48468,,,,,,A la apelación d cuenta,,Dese Cuenta,11
48480,5122-2019,Talca,05/09/2024,25.0,Resolución,Certifíquese (f.24),04/10/2019,Certifiquese,8
48481,,,,,,"Prescinde de la Fiscalía, por no notificar.",,Prescinde,25
48485,,,,,,Resolviendo el folio 63: Tgsa. por desestimado,,Fallo/Desestima,13
48489,,,,,,La corte inadmis.  la solicitud discrepancia en el cálculo de planes por la isapre.,,Inadmisible/Omite,18
48491,,,,,,La solicitud es omte proncunc.a  incumplimiento de plazos administrativos por la isapre,,Inadmisible/Omite,18
48501,787-2020,Punta Arenas,17/06/2020,9.0,Resolución,Pide informe y agréguese,27/05/2020,Ica Solicita Diligencia,17
48502,,,,,,cfrt. lo solicitado por la Ilma. C.A. de Talca.,,Certifiquese,8
48511,,,,,,(GES2026)evinf(SMV),,Evacua Informe,12
48524,,,,,,La recurso es inadmisible.a  incumplimiento de plazos administrativos por la isapre.,,Inadmisible/Omite,18
48533,,,,,,Al folio n 95: art 216,,Art / Numeral,7
